2010 Rank|Name|Government|Population (2010 census)[2]|Population (2020 census)[3]|Change|Main County|Other Counties|
313|Rusk|city|5,551|5,602|+0.92%|Cherokee||
319|Sabinal|city|1,695|1,673|−1.30%|Uvalde||
122|Sachse|city|20,329|26,046|+28.12%|Dallas|Collin|
1061|Sadler|city|343|383|+11.66%|Grayson||
124|Saginaw|city|19,806|24,310|+22.74%|Tarrant||
563|St. Hedwig|town|2,094|2,488|+18.82%|Bexar||
778|St. Jo|city|1,043|1,030|−1.25%|Montague||
766|St. Paul|town|1,066|1,051|−1.41%|Collin||
554|Salado|village|2,126|2,370|+11.48%|Bell||
36|San Angelo|city|93,200|101,004|+8.37%|Tom Green||
2|San Antonio|city|1,327,407|1,547,253|+16.56%|Bexar|Medina,Comal|
560|San Augustine|city|2,108|1,888|−10.44%|San Augustine||
110|San Benito|city|24,250|24,243|−0.03%|Cameron||
1074|Sanctuary|town|329|321|−2.43%|Parker||
361|San Diego|city|4,488|4,221|−5.95%|Duval|Jim Wells|
|Sandy Oaks|city||4660||Bexar||
|Sandy Point|city||236||Brazoria||
|San Elizario|city||9089||El Paso||
872|San Felipe|town|747|825|+10.44%|Austin||
1170|Sanford|town|164|156|−4.88%|Hutchinson||
269|Sanger|city|6,916|8,732|+26.26%|Denton||
86|San Juan|city|33,856|37,008|+9.31%|Hidalgo||
971|San Leanna|village|497|507|+2.01%|Travis||
68|San Marcos|city|44,894|64,776|+44.29%|Hays|Caldwell,Guadalupe|
1030|San Patricio|city|395|375|−5.06%|San Patricio|Nueces|
940|San Perlita|city|573|556|−2.97%|Willacy||
444|San Saba|city|3,099|3,168|+2.23%|San Saba||
352|Sansom Park|city|4,686|5,748|+22.66%|Tarrant||
757|Santa Anna|town|1,099|1,007|−8.37%|Coleman||
884|Santa Clara|city|725|751|+3.59%|Guadalupe||
189|Santa Fe|city|12,222|13,449|+10.04%|Galveston||
466|Santa Rosa|town|2,873|2,723|−5.22%|Cameron||
838|Savoy|city|831|872|+4.93%|Fannin||
92|Schertz|city|31,465|42,042|+33.62%|Guadalupe|Bexar,Comal|
469|Schulenburg|city|2,852|2,913|+2.14%|Fayette||
969|Scotland|city|501|474|−5.39%|Archer||
1043|Scottsville|city|376|354|−5.85%|Harrison||
900|Scurry|town|681|781|+14.68%|Kaufman||
191|Seabrook|city|11,952|14,149|+18.38%|Harris|Chambers|
692|Seadrift|city|1,364|1,493|+9.46%|Calhoun||
164|Seagoville|city|14,835|16,861|+13.66%|Dallas|Kaufman|
525|Seagraves|city|2,417|2,936|+21.47%|Gaines||
293|Sealy|city|6,019|6,446|+7.09%|Austin||
108|Seguin|city|25,175|29,992|+19.13%|Guadalupe||
315|Selma|city|5,540|11,132|+100.94%|Guadalupe|Bexar,Comal|
281|Seminole|city|6,430|7,815|+21.54%|Gaines||
1187|Seven Oaks|city|111|129|+16.22%|Polk||
669|Seven Points|city|1,455|1,521|+4.54%|Henderson|Kaufman|
481|Seymour|city|2,740|2,550|−6.93%|Baylor||
496|Shady Shores|town|2,612|2,865|+9.69%|Denton||
512|Shallowater|city|2,484|2,574|+3.62%|Lubbock||
587|Shamrock|city|1,910|1,764|−7.64%|Wheeler||
454|Shavano Park|city|3,035|3,979|+31.10%|Bexar||
553|Shenandoah|city|2,134|2,987|+39.97%|Montgomery||
533|Shepherd|city|2,319|2,413|+4.05%|San Jacinto||
75|Sherman|city|38,521|44,002|+14.23%|Grayson||
566|Shiner|city|2,069|2,162|+4.49%|Lavaca||
659|Shoreacres|city|1,493|1,593|+6.70%|Harris||
276|Silsbee|city|6,611|6,617|+0.09%|Hardin||
880|Silverton|city|731|686|−6.16%|Briscoe||
850|Simonton|city|814|884|+8.60%|Fort Bend||
307|Sinton|city|5,665|5,354|−5.49%|San Patricio||
993|Skellytown|town|473|449|−5.07%|Carson||
285|Slaton|city|6,121|5,890|−3.77%|Lubbock||
946|Smiley|city|549|570|+3.83%|Gonzales||
394|Smithville|city|3,817|4,515|+18.29%|Bastrop||
991|Smyer|town|474|478|+0.84%|Hockley||
958|Snook|city|511|541|+5.87%|Burleson||
200|Snyder|city|11,202|11,023|−1.60%|Scurry||
90|Socorro|city|32,013|34,370|+7.36%|El Paso||
629|Somerset|city|1,631|1,965|+20.48%|Bexar||
688|Somerville|city|1,376|1,465|+6.47%|Burleson||
457|Sonora|city|3,027|2,786|−7.96%|Sutton||
602|Sour Lake|city|1,813|1,924|+6.12%|Hardin||
143|South Houston|city|16,983|17,438|+2.68%|Harris||
101|Southlake|city|26,575|32,376|+21.83%|Tarrant|Denton|
796|Southmayd|city|992|1,137|+14.62%|Grayson||
1037|South Mountain|town|384|365|−4.95%|Coryell||
472|South Padre Island|town|2,816|2,778|−1.35%|Cameron||
614|Southside Place|city|1,715|1,883|+9.80%|Harris||
421|Spearman|city|3,368|3,256|−3.33%|Hansford||
633|Splendora|city|1,615|2,255|+39.63%|Montgomery||
1197|Spofford|city|95|97|+2.11%|Kinney||
|Spring Branch|city||254||Comal||
1191|Springlake|town|108|102|−5.56%|Lamb||
490|Springtown|city|2,658|3,190|+20.02%|Parker|Wise|
399|Spring Valley Village|city|3,715|4,319|+16.26%|Harris||
703|Spur|city|1,318|1,199|−9.03%|Dickens||
139|Stafford|city|17,693|17,362|−1.87%|Fort Bend|Harris|
949|Stagecoach|town|538|592|+10.04%|Montgomery||
442|Stamford|city|3,124|2,941|−5.86%|Haskell|Jones|
510|Stanton|city|2,492|3,000|+20.39%|Martin||
1114|Staples|city|267|277|+3.75%|Guadalupe||
1004|Star Harbor|city|444|477|+7.43%|Henderson||
142|Stephenville|city|17,123|21,247|+24.08%|Erath||
822|Sterling City|city|888|998|+12.39%|Sterling||
592|Stinnett|city|1,881|1,770|−5.90%|Hutchinson||
670|Stockdale|city|1,442|1,649|+14.36%|Wilson||
1094|Stockton Bend|city|305|380|+24.59%|Hood||
571|Stratford|city|2,017|2,057|+1.98%|Sherman||
903|Strawn|city|653|671|+2.76%|Palo Pinto||
1124|Streetman|town|247|246|−0.40%|Freestone|Navarro|
811|Sudan|city|958|895|−6.58%|Lamb||
41|Sugar Land|city|78,817|118,488|+50.33%|Fort Bend||
382|Sullivan City|city|4,002|4,170|+4.20%|Hidalgo||
157|Sulphur Springs|city|15,449|16,234|+5.08%|Hopkins||
679|Sundown|city|1,397|1,425|+2.00%|Hockley||
332|Sunnyvale|town|5,130|6,841|+33.35%|Dallas||
586|Sunray|city|1,926|1,812|−5.92%|Moore||
889|Sunrise Beach Village|city|713|796|+11.64%|Llano||
871|Sunset Valley|city|749|672|−10.28%|Travis||
1206|Sun Valley|city|69|83|+20.29%|Lamar||
984|Surfside Beach|city|482|579|+20.12%|Brazoria||
401|Sweeny|city|3,684|3,717|+0.90%|Brazoria||
205|Sweetwater|city|10,906|10,469|−4.01%|Nolan||
450|Taft|city|3,048|2,867|−5.94%|San Patricio||
488|Tahoka|city|2,673|2,649|−0.90%|Lynn||
956|Talco|city|516|497|−3.68%|Titus||
649|Talty|town|1,535|2,760|+79.80%|Kaufman||
684|Tatum|city|1,385|1,384|−0.07%|Rusk|Panola|
160|Taylor|city|15,191|17,383|+14.43%|Williamson||
412|Taylor Lake Village|city|3,544|3,571|+0.76%|Harris||
1133|Taylor Landing|city|228|240|+5.26%|Jefferson||
411|Teague|city|3,560|3,515|−1.26%|Freestone||
1103|Tehuacana|town|283|279|−1.41%|Limestone||
48|Temple|city|66,102|78,439|+18.66%|Bell||
738|Tenaha|town|1,160|1,146|−1.21%|Shelby||
150|Terrell|city|15,816|18,869|+19.30%|Kaufman||
343|Terrell Hills|city|4,878|5,447|+11.66%|Bexar||
79|Texarkana|city|36,411|36,317|−0.26%|Bowie||
66|Texas City|city|45,099|50,094|+11.08%|Galveston||
1059|Texhoma|city|346|323|−6.65%|Sherman||
965|Texline|town|507|539|+6.31%|Dallam||
81|The Colony|city|36,328|44,438|+22.32%|Denton||
515|The Hills|village|2,472|2,487|+0.61%|Travis||
1126|Thompsons|town|246|350|+42.28%|Fort Bend||
699|Thorndale|city|1,336|1,302|−2.54%|Milam|Williamson|
951|Thornton|town|526|524|−0.38%|Limestone||
989|Thorntonville|town|476|541|+13.66%|Ward||
836|Thrall|city|839|977|+16.45%|Williamson||
598|Three Rivers|city|1,848|1,949|+5.47%|Live Oak||
841|Throckmorton|town|828|761|−8.09%|Throckmorton||
807|Tiki Island|village|968|1,065|+10.02%|Galveston||
1018|Timbercreek Canyon|village|418|471|+12.68%|Randall||
740|Timpson|city|1,155|1,134|−1.82%|Shelby||
856|Tioga|town|803|1,051|+30.88%|Grayson||
1099|Tira|town|297|313|+5.39%|Hopkins||
1204|Toco|city|75|76|+1.33%|Lamar||
1192|Todd Mission|city|107|114|+6.54%|Grimes||
900|Tolar|city|681|1,004|+47.43%|Hood||
209|Tomball|city|10,753|11,778|+9.53%|Harris||
776|Tom Bean|city|1,045|1,081|+3.44%|Grayson||
541|Tool|city|2,240|2,302|+2.77%|Henderson||
1202|Toyah|town|90|108|+20.00%|Reeves||
1066|Trent|town|337|349|+3.56%|Taylor||
914|Trenton|city|635|683|+7.56%|Fannin||
824|Trinidad|city|886|870|−1.81%|Henderson||
485|Trinity|city|2,697|2,756|+2.19%|Trinity||
242|Trophy Club|town|8,024|12,451|+55.17%|Denton|Tarrant|
594|Troup|city|1,869|2,044|+9.36%|Smith|Cherokee|
626|Troy|city|1,645|2,016|+22.55%|Bell||
338|Tulia|city|4,967|4,655|−6.28%|Swisher||
1016|Turkey|city|421|378|−10.21%|Hall||
874|Tuscola|city|742|739|−0.40%|Taylor||
717|Tye|city|1,242|1,333|+7.33%|Taylor||
33|Tyler|city|96,900|106,985|+10.41%|Smith||
785|Uhland|city|1,014|1,294|+27.61%|Hays|Caldwell|
1198|Uncertain|city|94|92|−2.13%|Harrison||
1052|Union Grove|city|357|385|+7.84%|Upshur||
1091|Union Valley|city|307|398|+29.64%|Hunt||
131|Universal City|city|18,530|20,890|+12.74%|Bexar|Guadalupe|
116|University Park|city|23,068|24,985|+8.31%|Dallas||
152|Uvalde|city|15,751|16,001|+1.59%|Uvalde||
1180|Valentine|town|134|133|−0.75%|Jeff Davis||
725|Valley Mills|city|1,203|1,180|−1.91%|Bosque|McLennan|
870|Valley View|city|757|845|+11.62%|Cooke||
494|Van|city|2,632|2,741|+4.14%|Van Zandt||
451|Van Alstyne|city|3,046|4,378|+43.73%|Grayson|Collin|
567|Van Horn|town|2,063|1,870|−9.36%|Culberson||
826|Vega|city|884|924|+4.52%|Oldham||
459|Venus|town|2,960|4,368|+47.57%|Johnson|Ellis|
203|Vernon|city|11,002|10,323|−6.17%|Wilbarger||
52|Victoria|city|62,592|66,916|+6.91%|Victoria||
210|Vidor|city|10,579|10,403|−1.66%|Orange||
579|Vinton|village|1,971|2,022|+2.59%|El Paso||
954|Volente|village|520|599|+15.19%|Travis||
760|Von Ormy|city|1,085|1,287|+18.62%|Bexar||
22|Waco|city|124,805|139,236|+11.56%|McLennan||
768|Waelder|city|1,065|1,133|+6.38%|Gonzales||
319|Wake Village|city|5,492|5,327|−3.00%|Bowie||
531|Waller|city|2,326|3,488|+49.96%|Waller|Harris|
715|Wallis|city|1,252|1,303|+4.07%|Austin||
842|Walnut Springs|city|827|868|+4.96%|Bosque||
1098|Warren City|city|298|305|+2.35%|Gregg|Upshur|
549|Waskom|city|2,160|2,190|+1.39%|Harrison||
115|Watauga|city|23,497|24,481|+4.19%|Tarrant||
94|Waxahachie|city|29,621|37,988|+28.25%|Ellis||
107|Weatherford|city|25,250|33,547|+32.86%|Parker||
1031|Webberville|village|392|485|+23.72%|Travis||
215|Webster|city|10,400|11,451|+10.11%|Harris||
551|Weimar|city|2,151|2,226|+3.49%|Colorado||
1167|Weinert|city|172|162|−5.81%|Haskell||
1000|Weir|city|450|530|+17.78%|Williamson||
547|Wellington|city|2,189|2,068|−5.53%|Collingsworth||
1146|Wellman|city|203|203|0.00%|Terry||
861|Wells|town|790|792|+0.25%|Cherokee||
83|Weslaco|city|35,670|41,629|+16.71%|Hidalgo||
473|West|city|2,807|2,986|+6.38%|McLennan||
1122|Westbrook|city|253|244|−3.56%|Mitchell||
388|West Columbia|city|3,905|3,830|−1.92%|Brazoria||
796|Westlake|town|992|1,709|+72.28%|Tarrant|Denton|
447|West Lake Hills|city|3,063|3,286|+7.28%|Travis||
942|Weston|city|563|540|−4.09%|Collin||
513|Weston Lakes|city|2,482|4,003|+61.28%|Fort Bend||
417|West Orange|city|3,443|3,223|−6.39%|Orange||
899|Westover Hills|town|682|683|+0.15%|Tarrant||
639|West Tawakoni|city|1,576|2,006|+27.28%|Hunt||
165|West University Place|city|14,787|15,585|+5.40%|Harris||
515|Westworth Village|city|2,472|2,757|+11.53%|Tarrant||
228|Wharton|city|8,832|8,637|−2.21%|Wharton||
637|Wheeler|city|1,592|1,477|−7.22%|Wheeler||
792|White Deer|town|1,000|955|−4.50%|Carson||
1001|Whiteface|town|449|412|−8.24%|Cochran||
249|Whitehouse|city|7,660|8,905|+16.25%|Smith||
278|White Oak|city|6,469|6,322|−2.27%|Gregg||
396|Whitesboro|city|3,793|4,120|+8.62%|Grayson||
148|White Settlement|city|16,116|17,851|+10.77%|Tarrant||
634|Whitewright|town|1,604|1,721|+7.29%|Grayson|Fannin|
565|Whitney|town|2,087|2,162|+3.59%|Hill||
29|Wichita Falls|city|104,553|104,683|+0.12%|Wichita||
970|Wickett|town|498|559|+12.25%|Ward||
308|Willis|city|5,662|7,028|+24.13%|Montgomery||
385|Willow Park|city|3,982|5,842|+46.71%|Parker||
413|Wills Point|city|3,524|3,651|+3.60%|Van Zandt||
402|Wilmer|city|3,682|4,772|+29.60%|Dallas||
979|Wilson|city|489|490|+0.20%|Lynn||
495|Wimberley|city|2,626|3,232|+23.08%|Hays||
324|Windcrest|city|5,364|5,876|+9.55%|Bexar||
1154|Windom|town|199|205|+3.02%|Fannin||
1022|Windthorst|town|409|379|−7.33%|Archer|Clay|
953|Winfield|city|524|520|−0.76%|Titus||
814|Wink|city|940|1,028|+9.36%|Winkler||
419|Winnsboro|city|3,434|3,299|−3.93%|Wood|Franklin|
938|Winona|town|576|608|+5.56%|Smith||
504|Winters|city|2,562|2,448|−4.45%|Runnels||
1121|Wixon Valley|city|254|253|−0.39%|Brazos||
676|Wolfe City|city|1,412|1,480|+4.82%|Hunt||
403|Wolfforth|city|3,670|5,486|+49.48%|Lubbock||
711|Woodbranch|city|1,282|1,441|+12.40%|Montgomery||
668|Woodcreek|city|1,457|1,716|+17.78%|Hays||
1144|Woodloch|town|207|208|+0.48%|Montgomery||
654|Woodsboro|town|1,512|1,410|−6.75%|Refugio||
1115|Woodson|town|264|241|−8.71%|Throckmorton||
502|Woodville|town|2,586|2,428|−6.11%|Tyler||
235|Woodway|city|8,452|9,024|+6.77%|McLennan||
764|Wortham|town|1,073|996|−7.18%|Navarro||
70|Wylie|city|41,427|53,067|+28.10%|Collin|Dallas,Rockwall|
1034|Yantis|town|388|428|+10.31%|Wood||
301|Yoakum|city|5,815|5,940|+2.15%|Lavaca|DeWitt|
564|Yorktown|city|2,092|2,050|−2.01%|DeWitt||
889|Zavalla|city|713|710|−0.42%|Angelina||
